Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
URI,,277.28,849.6298046511628,2.0641582683610893,16.685581395348834,0.0,URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,0001067701,"1997
"
UHS,,130.5,519.0452543859648,2.977358271156818,14.421929824561404,0.0,UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,0000352915,"1979
"
UNM,,23.87,140.00058799999996,4.865127272727271,8.097199999999999,4.76,UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,0000005513,"1999
"
VRSN,,200.29,624.0323063829787,2.115643848334809,24.491063829787244,0.0,VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,0001014473,"1995
"
VTR,,49.64,130.5980350877193,1.6309032048291552,24.68771929824561,3.74,VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,0000740260,"1998
"
VRSK,,190.82,349.96919999999994,0.8340278796771825,27.32,0.57,VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,0001442145,"1971
"
VAR,,176.21,230.312905882353,0.3070365239336755,21.544705882352943,0.0,VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,0000203527,"1948
"
VRTX,,213.82,942.1986,3.4065036011598533,29.5175,0.0,VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,0000875320,"1989
"
VIAC,,55.03,167.40691489361706,2.0421027601965664,13.392553191489364,1.76,VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,"0000813828
","2019 (1952)
"
VTRS,,18.39,31.876857142857148,0.7333799425153422,26.564047619047624,0.0,VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,0001792044,"1961
"
VMC,,155.65,619.8557702702701,2.9823692275635727,33.415405405405394,0.88,VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,"0001396009
","1909
"
VNO,,38.9,612.859874468085,14.754752557020181,18.29978723404255,5.57,VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,0000899689,"1982
"
WAB,,83.05,181.63237962962967,1.1870244386469555,20.99796296296297,0.58,WAB,Westinghouse Air Brake Technologies Corp,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2019-02-27,0000943452,"1999 (1869)
"
WBA,,50.0,67.09978333333332,0.3419956666666664,15.215370370370367,3.75,WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,0001618921,"2014
"
